imageName,Equipo,Año,Precio,Precio_Oferta,Talla,Tipo,Disponible,Tipo_Region,Notas,Estado,,,,,,,,,,
Trento,Manchester City,2025-2026,700,,XL,,TRUE,Europa,nueva,,,,,,,,,,,Trento
Trompo,Manchester City,"2024/2025, 2023",450,,XL,,TRUE,Europa,,,,,,,,,,,,Trompo
Trujillo,Manchester City,2024-2025,475,,M,,TRUE,Europa,Halland,,,,,,,,,,,Trujillo
Tulcan,Real Madrid,2025-2026,900,,L,,TRUE,Europa,nueva,,,,,,,,,,,Tulcan
Turku,Argentina,2023,500,,M,,TRUE,Seleccion,nueva,,,,,,,,,,,Turku
Udaipur,Argentina,2025-2026,"1,150",,XL,,TRUE,Seleccion,Messi. Sin precio posiblemente 1150,,,,,,,,,,,Udaipur
UlanBator,Argentina,2025-2026,"1,150",,XL,,TRUE,Seleccion,Messi. Sin precio posiblemente 1150,,,,,,,,,,,UlanBator
Uppsala,Argentina,2025-2026,"1,150",,L,,TRUE,Seleccion,Messi,,,,,,,,,,,Uppsala
Utrecht,Argentina,2025-2026,"1,100",,M,,TRUE,Seleccion,,,,,,,,,,,,Utrecht
Vaduz,Argentina,2025,"1,190",,L,,TRUE,Seleccion,nueva. messi,,,,,,,,,,,Vaduz
Valparaiso,Italia,2025,950,,XL,,TRUE,Seleccion,nueva,,,,,,,,,,,Valparaiso
Varna,Newcastle,-,800,,M,,TRUE,Europa,nueva,,,,,,,,,,,Varna
Verona,Argentina,2025,"1,190",,L,,TRUE,Seleccion,messi,,,,,,,,,,,Verona
Vientiane,USA,-,250,,L,,TRUE,Seleccion,Morris,,,,,,,,,,,Vientiane
Willemstad,Newcastle,-,350,,XL,,TRUE,Europa,,,,,,,,,,,,Willemstad
Windhoek,Gremio,2024-2025,350,,L,,TRUE,Conmebol/Concacaf,,,,,,,,,,,,Windhoek
Winnipeg,Chelsea,2014,250,,L,,TRUE,Europa,Chumpa,,,,,,,,,,,Winnipeg
Wrocław,America,2024,600,,XL,,TRUE,Conmebol/Concacaf,nueva,,,,,,,,,,,Wrocław
Xalapa,Tigres,-,250,,XL,,TRUE,Conmebol/Concacaf,,,,,,,,,,,,Xalapa
Xelaju,Yankees,-,450,,XL,Otros,TRUE,Otros,Jeter,,,,,,,,,,,Xelaju
Yakarta,Argentina,2023,500,,XL,,TRUE,Seleccion,nueva,,,,,,,,,,,Yakarta
Zacatecas,USAC,2012,100,,XS,,TRUE,Conmebol/Concacaf,,,,,,,,,,,,Zacatecas
Zanzibar,Argentina,2025-2026,"1,150",,M,,TRUE,Seleccion,Messi,,,,,,,,,,,Zanzibar
Zibo,Guatemala,2025-2026,450,,XL,,TRUE,Seleccion,Chumpa,,,,,,,,,,,Zibo
